province;id
Gauteng                                                                                                                                                                                                                                                        ;1527
Mpumalanga                                                                                                                                                                                                                                                     ;3019
Limpopo                                                                                                                                                                                                                                                        ;4847
Mpumalanga                                                                                                                                                                                                                                                     ;4953
Gauteng                                                                                                                                                                                                                                                        ;11550
Mpumalanga                                                                                                                                                                                                                                                     ;11748
North West                                                                                                                                                                                                                                                     ;12977
KwaZulu Natal                                                                                                                                                                                                                                                  ;15261
Eastern Cape                                                                                                                                                                                                                                                   ;16474
KwaZulu Natal                                                                                                                                                                                                                                                  ;16676
Eastern Cape                                                                                                                                                                                                                                                   ;18686
Western Cape                                                                                                                                                                                                                                                   ;22309
Northern Cape                                                                                                                                                                                                                                                  ;22508
Free State                                                                                                                                                                                                                                                     ;23861
